date,PMI
1939-01-31,9077.0
1939-02-28,9175.0
1939-03-31,9275.0
1939-04-30,9309.0
1939-05-31,9299.0
1939-06-30,9315.0
1939-07-31,9231.0
1939-08-31,9400.0
1939-09-30,9604.0
1939-10-31,9873.0
1939-11-30,9896.0
1939-12-31,9949.0
1940-01-31,9927.0
1940-02-29,9916.0
1940-03-31,9884.0
1940-04-30,9817.0
1940-05-31,9810.0
1940-06-30,9832.0
1940-07-31,9766.0
1940-08-31,10048.0
1940-09-30,10258.0
1940-10-31,10471.0
1940-11-30,10643.0
1940-12-31,10847.0
1941-01-31,10993.0
1941-02-28,11211.0
1941-03-31,11409.0
1941-04-30,11698.0
1941-05-31,11957.0
1941-06-30,12204.0
1941-07-31,12382.0
1941-08-31,12532.0
1941-09-30,12683.0
1941-10-31,12770.0
1941-11-30,12810.0
1941-12-31,12876.0
1942-01-31,12965.0
1942-02-28,13127.0
1942-03-31,13311.0
1942-04-30,13509.0
1942-05-31,13704.0
1942-06-30,13842.0
1942-07-31,14072.0
1942-08-31,14339.0
1942-09-30,14582.0
1942-10-31,14772.0
1942-11-30,14971.0
1942-12-31,15288.0
1943-01-31,15532.0
1943-02-28,15685.0
1943-03-31,15856.0
1943-04-30,15961.0
1943-05-31,16044.0
1943-06-30,16204.0
1943-07-31,16306.0
1943-08-31,16369.0
1943-09-30,16366.0
1943-10-31,16512.0
1943-11-30,16598.0
1943-12-31,16526.0
1944-01-31,16439.0
1944-02-29,16330.0
1944-03-31,16170.0
1944-04-30,16012.0
1944-05-31,15944.0
1944-06-30,15890.0
1944-07-31,15832.0
1944-08-31,15781.0
1944-09-30,15662.0
1944-10-31,15630.0
1944-11-30,15568.0
1944-12-31,15659.0
1945-01-31,15669.0
1945-02-28,15581.0
1945-03-31,15473.0
1945-04-30,15335.0
1945-05-31,15201.0
1945-06-30,14948.0
1945-07-31,14599.0
1945-08-31,14201.0
1945-09-30,12486.0
1945-10-31,12487.0
1945-11-30,12537.0
1945-12-31,12528.0
1946-01-31,12719.0
1946-02-28,11922.0
1946-03-31,12545.0
1946-04-30,13200.0
1946-05-31,13389.0
1946-06-30,13598.0
1946-07-31,13771.0
1946-08-31,13981.0
1946-09-30,14135.0
1946-10-31,14182.0
1946-11-30,14310.0
1946-12-31,14301.0
1947-01-31,14328.0
1947-02-28,14278.0
1947-03-31,14259.0
1947-04-30,14240.0
1947-05-31,14189.0
1947-06-30,14200.0
1947-07-31,14076.0
1947-08-31,14200.0
1947-09-30,14315.0
1947-10-31,14393.0
1947-11-30,14414.0
1947-12-31,14428.0
1948-01-31,14438.0
1948-02-29,14339.0
1948-03-31,14364.0
1948-04-30,14183.0
1948-05-31,14235.0
1948-06-30,14318.0
1948-07-31,14359.0
1948-08-31,14353.0
1948-09-30,14441.0
1948-10-31,14390.0
1948-11-30,14292.0
1948-12-31,14086.0
1949-01-31,13867.0
1949-02-28,13734.0
1949-03-31,13581.0
1949-04-30,13439.0
1949-05-31,13269.0
1949-06-30,13178.0
1949-07-31,13067.0
1949-08-31,13158.0
1949-09-30,13225.0
1949-10-31,12891.0
1949-11-30,12882.0
1949-12-31,13062.0
1950-01-31,13161.0
1950-02-28,13169.0
1950-03-31,13290.0
1950-04-30,13471.0
1950-05-31,13780.0
1950-06-30,13923.0
1950-07-31,14072.0
1950-08-31,14461.0
1950-09-30,14561.0
1950-10-31,14737.0
1950-11-30,14762.0
1950-12-31,14782.0
